ndb_no	shrt_desc	energy_kcal	nutval
10006	PORK,FRSH,FAT,RAW	0.574279	-0.447558
1072	DESSERT TOPPING,PRESSURIZED	0.292683	-0.444134
10000	PORK,FRSH,ENHANCED,COMP OF FAT,CKD	0.648559	-0.436386
43016	SALAD DRESSING,COLESLAW	0.432373	-0.435068
4627	MARGARINE-LIKE SPRD W/ YOGURT,APPROX 40% FAT,TUB,W/ SALT	0.365854	-0.43324
31014	CAMPBELL SOUP COMPANY,PACE,JALAPENOS NACHO SLICED PEPPERS	0.0144124	-0.42065
7248	OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)	0.344789	-0.39868
5235	TURKEY,YOUNG HEN,SKN ONLY,RAW	0.462306	-0.398242
4128	VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT	0.375831	-0.381677
17187	LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED	0.302661	-0.378475
1074	SOUR CRM,IMITN,CULTURED	0.230599	-0.373481
4144	SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT	0.0842572	-0.370621
7200	OSCAR MAYER,BOLOGNA (CHICK,PORK,BF)	0.35255	-0.367229
9195	OLIVES,PICKLED,CND OR BTLD,GRN	0.160754	-0.355979
4633	MARGARINE-LIKE,VEG OIL SPRD,20% FAT,W/ SALT	0.194013	-0.353385
1073	DESSERT TOPPING,SEMI SOLID,FRZ	0.35255	-0.342388
17006	LAMB,DOM,COMP OF RTL CUTS,FAT,1/4"FAT,CHOIC,CKD	0.649667	-0.337795
4674	MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD	0.373614	-0.316281
17190	VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED	0.236142	-0.313071
21349	MCDONALD'S,NEWMAN'S OWN RANCH DRSNG	0.347007	-0.31211
7240	OSCAR MAYER,WIENERS (PORK,TURKEY)	0.362528	-0.291576
6481	SOUP,CHICK BROTH CUBES,DRY,PREP W/ H2O	0.00554324	-0.291122
35225	AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE	0.521064	-0.283557
5169	TURKEY,ALL CLASSES,SKN ONLY,RAW	0.431264	-0.280084
43276	CHEESE SPRD,CRM CHS BASE	0.327051	-0.276627
